IN1005, length = 2798.92 s, percent_of_speech = 0.95, percent_of_noises = 0.55
noise: Computer_1267_3, start: 26.2245 s end: 33.6557 s, duration: 7.4312 s, snr: 2.05
noise: Writing_171_0, start: 31.8826 s end: 39.6689 s, duration: 7.7862 s, snr: 3.10
noise: Telephone_558_3, start: 58.3549 s end: 66.4492 s, duration: 8.0942 s, snr: 4.55
noise: Scissors_85_0, start: 65.8449 s end: 69.4111 s, duration: 3.5662 s, snr: 0.65
noise: Computer_478_2, start: 83.0297 s end: 91.3018 s, duration: 8.2721 s, snr: 7.13
noise: Babble_6_0, start: 139.2106 s end: 199.7431 s, duration: 60.5325 s, snr: 17.01
noise: Signalization_32_0, start: 140.0831 s end: 143.6156 s, duration: 3.5325 s, snr: 3.58
noise: Telephone_176_1, start: 155.0790 s end: 163.1599 s, duration: 8.0809 s, snr: 5.58
noise: Computer_99_3, start: 188.7086 s end: 193.8441 s, duration: 5.1355 s, snr: 12.54
noise: Babble_142_4, start: 200.7986 s end: 211.3311 s, duration: 10.5325 s, snr: 13.43
noise: Door_539_0, start: 217.6954 s end: 222.2678 s, duration: 4.5724 s, snr: 6.02
noise: Squeak_16_2, start: 225.7469 s end: 230.2777 s, duration: 4.5309 s, snr: 5.71
noise: Babble_13_0, start: 244.1474 s end: 304.6799 s, duration: 60.5325 s, snr: 14.91
noise: Squeak_181_2, start: 272.3744 s end: 279.3210 s, duration: 6.9466 s, snr: 3.95
noise: Writing_145_3, start: 275.4490 s end: 287.0355 s, duration: 11.5865 s, snr: 5.17
noise: Computer_259_1, start: 275.8868 s end: 285.1394 s, duration: 9.2526 s, snr: 0.90
noise: Babble_152_2, start: 302.2221 s end: 312.7546 s, duration: 10.5325 s, snr: 15.07
noise: Writing_65_3, start: 390.9231 s end: 394.6559 s, duration: 3.7327 s, snr: 6.25
noise: Gunshot_47_2, start: 397.4644 s end: 400.5294 s, duration: 3.0650 s, snr: 8.10
noise: Computer_390_0, start: 402.9000 s end: 420.8215 s, duration: 17.9215 s, snr: 4.69
noise: Computer_1213_0, start: 412.5548 s end: 418.4362 s, duration: 5.8814 s, snr: 0.19
noise: Writing_100_2, start: 425.0200 s end: 428.5780 s, duration: 3.5580 s, snr: 3.37
noise: Telephone_520_0, start: 460.5449 s end: 465.6329 s, duration: 5.0880 s, snr: 1.08
noise: Telephone_18_4, start: 469.7486 s end: 482.2419 s, duration: 12.4932 s, snr: 3.71
noise: Signalization_105_0, start: 515.5509 s end: 518.9646 s, duration: 3.4136 s, snr: 4.13
noise: Street_45_4, start: 520.3049 s end: 523.8438 s, duration: 3.5389 s, snr: 7.98
noise: Scissors_2_3, start: 542.2618 s end: 546.6681 s, duration: 4.4064 s, snr: 8.78
noise: Drawer_0_4, start: 557.1012 s end: 561.3259 s, duration: 4.2247 s, snr: 5.59
noise: Door_1994_2, start: 570.4528 s end: 574.1439 s, duration: 3.6911 s, snr: 6.55
noise: Telephone_284_2, start: 596.6532 s end: 615.1942 s, duration: 18.5410 s, snr: 3.76
noise: Writing_219_0, start: 612.4234 s end: 639.0694 s, duration: 26.6460 s, snr: 7.27
noise: Telephone_668_2, start: 663.9953 s end: 694.5291 s, duration: 30.5338 s, snr: 3.28
noise: Tool_4061_4, start: 669.4631 s end: 673.9934 s, duration: 4.5303 s, snr: 5.81
noise: Babble_166_4, start: 677.5099 s end: 698.0488 s, duration: 20.5389 s, snr: 14.64
noise: Telephone_754_0, start: 730.4897 s end: 761.0209 s, duration: 30.5312 s, snr: 7.04
noise: Scissors_78_0, start: 740.7081 s end: 769.6147 s, duration: 28.9066 s, snr: 1.10
noise: Scissors_50_1, start: 782.6047 s end: 787.2953 s, duration: 4.6905 s, snr: 10.98
noise: Tool_3760_4, start: 799.8874 s end: 804.4198 s, duration: 4.5324 s, snr: 0.43
noise: Writing_112_3, start: 827.7635 s end: 841.2096 s, duration: 13.4461 s, snr: 6.78
noise: Street_153_0, start: 842.0691 s end: 857.6145 s, duration: 15.5454 s, snr: 8.62
noise: Door_1345_1, start: 844.9161 s end: 848.9906 s, duration: 4.0745 s, snr: 6.69
noise: Writing_140_4, start: 871.3525 s end: 876.5800 s, duration: 5.2275 s, snr: 1.78
noise: Squeak_118_1, start: 892.2624 s end: 910.8691 s, duration: 18.6066 s, snr: -0.05
noise: Babble_2_4, start: 892.3201 s end: 952.8526 s, duration: 60.5325 s, snr: 13.88
noise: Computer_507_1, start: 894.1881 s end: 899.1971 s, duration: 5.0090 s, snr: 4.80
noise: Telephone_706_4, start: 905.8421 s end: 909.4198 s, duration: 3.5778 s, snr: -0.77
noise: Telephone_7_0, start: 933.4787 s end: 941.9858 s, duration: 8.5070 s, snr: 4.98
noise: Drawer_75_0, start: 942.6416 s end: 953.4876 s, duration: 10.8460 s, snr: 0.68
noise: Tool_3055_0, start: 994.7111 s end: 998.3521 s, duration: 3.6410 s, snr: 7.34
noise: Squeak_288_2, start: 1027.0418 s end: 1031.3746 s, duration: 4.3327 s, snr: 3.21
noise: Drawer_113_3, start: 1059.8561 s end: 1067.8843 s, duration: 8.0281 s, snr: 6.67
noise: Door_359_2, start: 1082.0716 s end: 1086.0227 s, duration: 3.9511 s, snr: 4.18
noise: Gunshot_7_0, start: 1092.1924 s end: 1095.2574 s, duration: 3.0650 s, snr: 6.38
noise: Knock_647_1, start: 1184.5437 s end: 1188.8921 s, duration: 4.3484 s, snr: 10.48
noise: Door_2273_1, start: 1194.7804 s end: 1198.6864 s, duration: 3.9060 s, snr: 9.38
noise: Computer_673_2, start: 1214.4012 s end: 1218.9916 s, duration: 4.5904 s, snr: 5.44
noise: Squeak_169_1, start: 1230.6247 s end: 1257.7513 s, duration: 27.1265 s, snr: 2.17
noise: Computer_30_3, start: 1241.1613 s end: 1264.4071 s, duration: 23.2459 s, snr: 9.23
noise: Street_80_2, start: 1273.6494 s end: 1279.1820 s, duration: 5.5326 s, snr: 8.67
