TS3008c, length = 2508.00 s, percent_of_speech = 0.80, percent_of_noises = 0.58
noise: Babble_191_3, start: 33.9704 s end: 64.5157 s, duration: 30.5454 s, snr: 13.60
noise: Writing_92_1, start: 75.8032 s end: 93.6501 s, duration: 17.8469 s, snr: 8.07
noise: Squeak_68_3, start: 80.6717 s end: 93.3582 s, duration: 12.6865 s, snr: 6.41
noise: Telephone_812_0, start: 102.5976 s end: 108.1075 s, duration: 5.5099 s, snr: 2.77
noise: Drawer_138_0, start: 139.7426 s end: 143.3899 s, duration: 3.6472 s, snr: 12.46
noise: Signalization_151_3, start: 183.9563 s end: 199.4971 s, duration: 15.5409 s, snr: 4.30
noise: Writing_262_3, start: 209.4801 s end: 213.1746 s, duration: 3.6945 s, snr: 7.19
noise: Squeak_165_0, start: 227.4959 s end: 233.1997 s, duration: 5.7038 s, snr: 5.81
noise: Telephone_830_3, start: 231.6487 s end: 236.8076 s, duration: 5.1589 s, snr: 8.10
noise: Telephone_529_4, start: 245.1946 s end: 250.7981 s, duration: 5.6035 s, snr: 3.37
noise: Writing_102_2, start: 245.3791 s end: 270.4653 s, duration: 25.0862 s, snr: 4.19
noise: Knock_406_3, start: 246.4724 s end: 250.9771 s, duration: 4.5046 s, snr: 6.19
noise: Computer_129_1, start: 257.6560 s end: 266.1005 s, duration: 8.4445 s, snr: 5.41
noise: Drawer_45_1, start: 274.2828 s end: 278.4982 s, duration: 4.2155 s, snr: 9.19
noise: Telephone_216_1, start: 281.7532 s end: 302.2216 s, duration: 20.4684 s, snr: 6.06
noise: Drawer_141_4, start: 307.6339 s end: 329.9219 s, duration: 22.2880 s, snr: 0.23
noise: Knock_1299_1, start: 322.1808 s end: 328.1748 s, duration: 5.9940 s, snr: 4.21
noise: Computer_297_1, start: 328.9273 s end: 333.7158 s, duration: 4.7885 s, snr: 7.81
noise: Door_683_1, start: 329.4403 s end: 332.4487 s, duration: 3.0084 s, snr: 5.60
noise: Drawer_77_0, start: 331.1133 s end: 334.4066 s, duration: 3.2933 s, snr: 6.97
noise: Computer_410_4, start: 341.9664 s end: 369.9211 s, duration: 27.9546 s, snr: -0.03
