IN1012, length = 3109.02 s, percent_of_speech = 0.96, percent_of_noises = 0.41
noise: Tool_3768_2, start: 52.6909 s end: 57.2233 s, duration: 4.5324 s, snr: 6.31
noise: Gunshot_68_4, start: 99.6541 s end: 107.1826 s, duration: 7.5285 s, snr: 3.97
noise: Signalization_109_2, start: 130.7526 s end: 136.2963 s, duration: 5.5437 s, snr: 3.72
noise: Writing_139_1, start: 166.5082 s end: 170.8746 s, duration: 4.3664 s, snr: 5.69
noise: Gunshot_29_4, start: 192.8701 s end: 196.7351 s, duration: 3.8650 s, snr: 7.49
noise: Knock_59_4, start: 235.1430 s end: 256.7367 s, duration: 21.5937 s, snr: 1.68
noise: Door_4326_0, start: 240.2572 s end: 243.3381 s, duration: 3.0809 s, snr: 2.92
noise: Knock_977_1, start: 244.9850 s end: 248.0919 s, duration: 3.1069 s, snr: 1.89
noise: Writing_241_1, start: 256.1315 s end: 263.7979 s, duration: 7.6664 s, snr: -0.81
noise: Computer_292_2, start: 297.1654 s end: 301.7934 s, duration: 4.6280 s, snr: 0.22
noise: Drawer_112_2, start: 319.0798 s end: 330.3273 s, duration: 11.2475 s, snr: 6.49
noise: Computer_421_3, start: 353.6033 s end: 373.7722 s, duration: 20.1689 s, snr: 5.34
noise: Telephone_243_2, start: 381.4741 s end: 404.4970 s, duration: 23.0229 s, snr: 6.79
noise: Computer_633_2, start: 400.8949 s end: 405.1542 s, duration: 4.2592 s, snr: 6.86
noise: Babble_148_1, start: 415.2852 s end: 425.8177 s, duration: 10.5325 s, snr: 14.75
noise: Computer_1105_3, start: 425.0932 s end: 440.2866 s, duration: 15.1934 s, snr: 7.89
noise: Telephone_288_1, start: 493.9119 s end: 511.9699 s, duration: 18.0580 s, snr: 4.78
noise: Computer_40_0, start: 549.0699 s end: 559.2960 s, duration: 10.2261 s, snr: 5.09
noise: Computer_326_0, start: 551.0354 s end: 554.1466 s, duration: 3.1112 s, snr: 9.09
noise: Computer_204_0, start: 589.1798 s end: 594.3447 s, duration: 5.1649 s, snr: 4.90
noise: Knock_1896_0, start: 631.4076 s end: 636.9309 s, duration: 5.5232 s, snr: 3.65
noise: Street_63_3, start: 645.4172 s end: 648.9626 s, duration: 3.5454 s, snr: 4.47
noise: Door_1271_2, start: 711.2274 s end: 714.9662 s, duration: 3.7388 s, snr: 3.12
noise: Scissors_35_0, start: 715.7022 s end: 728.1484 s, duration: 12.4462 s, snr: 7.86
noise: Computer_848_3, start: 719.6151 s end: 724.7956 s, duration: 5.1805 s, snr: 11.19
noise: Writing_222_2, start: 725.6074 s end: 737.2939 s, duration: 11.6865 s, snr: 9.21
noise: Computer_100_4, start: 762.5159 s end: 781.5819 s, duration: 19.0660 s, snr: -0.60
noise: Writing_197_2, start: 763.2564 s end: 784.5825 s, duration: 21.3261 s, snr: 8.08
noise: Scissors_20_2, start: 776.2987 s end: 787.9053 s, duration: 11.6066 s, snr: 7.11
noise: Knock_63_3, start: 782.3748 s end: 785.8688 s, duration: 3.4940 s, snr: 3.32
noise: Gunshot_117_1, start: 798.3156 s end: 812.1809 s, duration: 13.8654 s, snr: 0.10
noise: Gunshot_55_1, start: 826.4905 s end: 831.3435 s, duration: 4.8530 s, snr: 4.76
noise: Writing_232_3, start: 854.4628 s end: 872.2695 s, duration: 17.8067 s, snr: 8.14
noise: Gunshot_37_1, start: 859.5244 s end: 862.5986 s, duration: 3.0743 s, snr: 8.31
noise: Squeak_201_3, start: 872.3993 s end: 879.2662 s, duration: 6.8669 s, snr: 3.35
noise: Door_337_0, start: 964.0348 s end: 968.0983 s, duration: 4.0635 s, snr: 8.35
noise: Knock_218_2, start: 1014.8978 s end: 1018.4638 s, duration: 3.5660 s, snr: 1.41
noise: Squeak_215_3, start: 1102.1771 s end: 1106.8637 s, duration: 4.6866 s, snr: 2.73
noise: Scissors_38_3, start: 1104.5604 s end: 1114.6264 s, duration: 10.0660 s, snr: 5.75
noise: Computer_482_0, start: 1134.0096 s end: 1146.7434 s, duration: 12.7338 s, snr: 7.44
noise: Door_2336_2, start: 1166.7023 s end: 1170.6038 s, duration: 3.9015 s, snr: 7.64
noise: Gunshot_127_1, start: 1188.8973 s end: 1192.1027 s, duration: 3.2054 s, snr: 6.26
noise: Door_903_4, start: 1190.8076 s end: 1196.2631 s, duration: 5.4555 s, snr: 8.35
noise: Gunshot_59_0, start: 1218.8959 s end: 1224.0282 s, duration: 5.1323 s, snr: 10.07
noise: Squeak_192_3, start: 1219.2282 s end: 1222.8345 s, duration: 3.6063 s, snr: 5.54
noise: Computer_76_0, start: 1220.4519 s end: 1231.0382 s, duration: 10.5863 s, snr: 10.06
noise: Squeak_66_3, start: 1241.0882 s end: 1258.8163 s, duration: 17.7281 s, snr: 5.69
noise: Street_4_1, start: 1269.4073 s end: 1299.9346 s, duration: 30.5273 s, snr: 6.50
noise: Computer_399_3, start: 1278.1165 s end: 1298.6436 s, duration: 20.5271 s, snr: 2.02
noise: Signalization_49_4, start: 1316.4198 s end: 1319.9523 s, duration: 3.5325 s, snr: 0.48
noise: Squeak_271_4, start: 1348.0916 s end: 1351.3387 s, duration: 3.2471 s, snr: 1.06
noise: Door_234_1, start: 1365.2135 s end: 1368.3898 s, duration: 3.1762 s, snr: 7.06
noise: Scissors_3_1, start: 1371.7499 s end: 1376.2761 s, duration: 4.5263 s, snr: 1.52
