IS1003c, length = 1876.48 s, percent_of_speech = 0.85, percent_of_noises = 0.60
noise: Signalization_60_4, start: 23.5577 s end: 27.1031 s, duration: 3.5454 s, snr: 5.47
noise: Squeak_16_3, start: 36.6918 s end: 41.2229 s, duration: 4.5311 s, snr: 8.74
noise: Telephone_323_3, start: 45.9037 s end: 73.4967 s, duration: 27.5930 s, snr: 5.04
noise: Street_107_3, start: 51.5478 s end: 57.0756 s, duration: 5.5277 s, snr: 2.09
noise: Tool_3225_2, start: 52.3672 s end: 56.8996 s, duration: 4.5324 s, snr: 11.54
noise: Door_2165_3, start: 87.3722 s end: 91.1068 s, duration: 3.7346 s, snr: 5.01
noise: Knock_751_1, start: 108.4026 s end: 112.4371 s, duration: 4.0345 s, snr: 6.69
noise: Computer_873_3, start: 131.5649 s end: 136.9302 s, duration: 5.3652 s, snr: 2.01
noise: Drawer_44_3, start: 144.6961 s end: 153.4645 s, duration: 8.7684 s, snr: 7.60
noise: Gunshot_132_2, start: 164.0789 s end: 168.3926 s, duration: 4.3136 s, snr: 6.58
noise: Scissors_31_4, start: 203.1801 s end: 208.1533 s, duration: 4.9733 s, snr: 6.57
noise: Knock_24_1, start: 211.6402 s end: 215.5627 s, duration: 3.9225 s, snr: 8.05
noise: Computer_237_0, start: 232.9196 s end: 238.0183 s, duration: 5.0987 s, snr: 7.98
noise: Computer_709_4, start: 262.0567 s end: 265.2397 s, duration: 3.1830 s, snr: 2.09
noise: Telephone_526_3, start: 266.6019 s end: 271.6869 s, duration: 5.0850 s, snr: 6.33
noise: Street_6_1, start: 282.0172 s end: 296.0079 s, duration: 13.9906 s, snr: -1.00
noise: Knock_1085_3, start: 307.0559 s end: 314.4691 s, duration: 7.4133 s, snr: 4.72
noise: Squeak_57_2, start: 338.9653 s end: 363.1920 s, duration: 24.2267 s, snr: 7.35
noise: Squeak_154_3, start: 339.6226 s end: 366.6309 s, duration: 27.0082 s, snr: 7.12
noise: Drawer_64_0, start: 364.4624 s end: 382.6898 s, duration: 18.2274 s, snr: 8.27
noise: Knock_1124_2, start: 378.7686 s end: 386.6044 s, duration: 7.8359 s, snr: 3.89
noise: Squeak_179_4, start: 398.2083 s end: 402.1957 s, duration: 3.9875 s, snr: 2.88
noise: Knock_1115_1, start: 408.2584 s end: 414.6488 s, duration: 6.3904 s, snr: 3.24
noise: Drawer_99_0, start: 410.1465 s end: 424.9526 s, duration: 14.8061 s, snr: 4.81
noise: Babble_113_0, start: 414.7942 s end: 420.3241 s, duration: 5.5299 s, snr: 15.37
noise: Drawer_132_2, start: 422.5319 s end: 440.3378 s, duration: 17.8059 s, snr: 4.41
noise: Knock_1710_4, start: 447.0992 s end: 450.3121 s, duration: 3.2129 s, snr: 4.87
noise: Telephone_339_2, start: 451.4471 s end: 479.0457 s, duration: 27.5986 s, snr: 4.93
noise: Telephone_63_4, start: 468.1579 s end: 476.8680 s, duration: 8.7101 s, snr: 2.87
noise: Scissors_81_4, start: 470.4667 s end: 491.6729 s, duration: 21.2063 s, snr: 2.99
noise: Babble_83_1, start: 486.4146 s end: 491.9600 s, duration: 5.5454 s, snr: 12.31
noise: Door_1956_1, start: 487.1304 s end: 490.7661 s, duration: 3.6356 s, snr: 8.20
noise: Signalization_82_0, start: 525.7534 s end: 531.2848 s, duration: 5.5314 s, snr: 6.52
noise: Squeak_83_3, start: 542.3497 s end: 550.4757 s, duration: 8.1260 s, snr: -0.59
noise: Telephone_396_4, start: 551.7782 s end: 566.9315 s, duration: 15.1533 s, snr: 12.10
noise: Drawer_99_2, start: 569.0429 s end: 583.8491 s, duration: 14.8061 s, snr: 1.33
noise: Squeak_115_0, start: 606.0123 s end: 609.7657 s, duration: 3.7534 s, snr: 9.99
noise: Squeak_159_3, start: 610.1235 s end: 613.9324 s, duration: 3.8089 s, snr: 9.30
noise: Telephone_810_1, start: 644.1714 s end: 649.7941 s, duration: 5.6226 s, snr: 1.96
noise: Gunshot_135_1, start: 646.4082 s end: 650.0749 s, duration: 3.6667 s, snr: 6.72
noise: Knock_1131_0, start: 659.1745 s end: 662.9254 s, duration: 3.7509 s, snr: 1.35
noise: Knock_34_1, start: 674.8518 s end: 682.8053 s, duration: 7.9535 s, snr: -1.00
noise: Scissors_59_0, start: 679.9729 s end: 701.4399 s, duration: 21.4670 s, snr: 3.77
noise: Scissors_16_4, start: 683.2849 s end: 690.1717 s, duration: 6.8868 s, snr: -0.13
noise: Computer_580_2, start: 689.3837 s end: 694.0736 s, duration: 4.6899 s, snr: 6.62
noise: Knock_340_4, start: 701.1901 s end: 704.9550 s, duration: 3.7649 s, snr: 4.75
noise: Scissors_63_3, start: 710.9760 s end: 714.8355 s, duration: 3.8595 s, snr: 6.38
noise: Computer_291_1, start: 731.0861 s end: 735.5658 s, duration: 4.4797 s, snr: 5.00
noise: Street_135_3, start: 735.3692 s end: 745.9017 s, duration: 10.5325 s, snr: 4.37
noise: Computer_1042_0, start: 750.5651 s end: 762.9055 s, duration: 12.3404 s, snr: 1.17
noise: Telephone_85_0, start: 750.7670 s end: 754.7015 s, duration: 3.9345 s, snr: 1.70
noise: Babble_159_3, start: 775.1739 s end: 785.7064 s, duration: 10.5325 s, snr: 15.12
noise: Squeak_218_2, start: 779.9506 s end: 783.2682 s, duration: 3.3176 s, snr: 8.71
noise: Tool_2913_2, start: 793.5378 s end: 798.0721 s, duration: 4.5343 s, snr: 9.95
noise: Computer_696_3, start: 801.6019 s end: 804.9488 s, duration: 3.3469 s, snr: 6.51
