EN2005a, length = 5415.23 s, percent_of_speech = 0.94, percent_of_noises = 0.58
noise: Knock_94_3, start: 21.3126 s end: 24.4456 s, duration: 3.1330 s, snr: -0.96
noise: Drawer_110_2, start: 25.3438 s end: 38.3916 s, duration: 13.0478 s, snr: 3.24
noise: Writing_26_2, start: 32.2062 s end: 35.8982 s, duration: 3.6920 s, snr: 5.18
noise: Writing_245_0, start: 36.0996 s end: 42.3658 s, duration: 6.2662 s, snr: 6.29
noise: Babble_30_3, start: 53.5749 s end: 59.1074 s, duration: 5.5325 s, snr: 16.42
noise: Telephone_412_0, start: 60.3754 s end: 111.2147 s, duration: 50.8392 s, snr: 3.81
noise: Writing_188_2, start: 63.5191 s end: 66.9052 s, duration: 3.3861 s, snr: -1.00
noise: Computer_289_2, start: 74.1062 s end: 79.5237 s, duration: 5.4175 s, snr: 3.00
noise: Gunshot_107_4, start: 94.7043 s end: 102.1447 s, duration: 7.4404 s, snr: 2.73
noise: Computer_552_4, start: 95.5805 s end: 102.7280 s, duration: 7.1475 s, snr: 3.26
noise: Squeak_245_2, start: 115.5164 s end: 122.0447 s, duration: 6.5282 s, snr: 4.30
noise: Drawer_20_1, start: 139.8219 s end: 146.6918 s, duration: 6.8699 s, snr: 7.45
noise: Street_40_2, start: 150.3405 s end: 153.8680 s, duration: 3.5275 s, snr: 3.12
noise: Drawer_104_4, start: 193.6329 s end: 197.1694 s, duration: 3.5365 s, snr: 5.31
noise: Computer_668_0, start: 215.6475 s end: 218.9050 s, duration: 3.2575 s, snr: 10.29
noise: Computer_951_2, start: 219.6050 s end: 223.0428 s, duration: 3.4378 s, snr: 6.55
noise: Squeak_250_3, start: 263.4111 s end: 267.0441 s, duration: 3.6330 s, snr: 6.19
noise: Tool_3507_1, start: 263.8716 s end: 269.0116 s, duration: 5.1400 s, snr: 1.01
noise: Scissors_44_3, start: 269.1099 s end: 295.6377 s, duration: 26.5278 s, snr: 8.72
noise: Computer_969_1, start: 286.9421 s end: 290.1884 s, duration: 3.2463 s, snr: 1.96
noise: Computer_869_3, start: 343.9511 s end: 349.1886 s, duration: 5.2375 s, snr: 5.16
noise: Knock_414_0, start: 363.3994 s end: 368.6966 s, duration: 5.2971 s, snr: 5.47
noise: Squeak_78_1, start: 372.9124 s end: 385.0018 s, duration: 12.0894 s, snr: 7.48
noise: Telephone_795_0, start: 397.0190 s end: 400.3114 s, duration: 3.2924 s, snr: 4.07
noise: Door_53_2, start: 400.1774 s end: 403.2694 s, duration: 3.0920 s, snr: 7.10
noise: Knock_771_4, start: 412.6491 s end: 416.3530 s, duration: 3.7039 s, snr: 6.46
noise: Drawer_82_4, start: 418.7452 s end: 421.7617 s, duration: 3.0165 s, snr: 4.46
noise: Tool_3753_1, start: 424.4965 s end: 429.0289 s, duration: 4.5324 s, snr: 0.44
noise: Computer_1257_4, start: 433.5821 s end: 443.0122 s, duration: 9.4301 s, snr: 7.33
noise: Signalization_88_3, start: 437.2881 s end: 442.8165 s, duration: 5.5284 s, snr: 2.72
noise: Babble_79_0, start: 459.1934 s end: 464.7259 s, duration: 5.5325 s, snr: 17.06
noise: Computer_470_0, start: 462.8184 s end: 475.4809 s, duration: 12.6625 s, snr: 8.18
noise: Street_127_4, start: 478.7391 s end: 489.2784 s, duration: 10.5394 s, snr: 5.29
noise: Squeak_60_0, start: 489.7854 s end: 493.0822 s, duration: 3.2967 s, snr: 4.65
noise: Signalization_84_2, start: 502.0987 s end: 507.6313 s, duration: 5.5325 s, snr: 9.07
noise: Telephone_24_2, start: 508.1207 s end: 514.1474 s, duration: 6.0268 s, snr: 5.68
noise: Signalization_86_3, start: 527.3749 s end: 532.9203 s, duration: 5.5454 s, snr: 7.45
noise: Computer_242_0, start: 528.5880 s end: 538.5398 s, duration: 9.9518 s, snr: 5.61
noise: Drawer_64_2, start: 533.0126 s end: 551.2409 s, duration: 18.2283 s, snr: 1.02
noise: Tool_4020_1, start: 534.1111 s end: 538.6431 s, duration: 4.5320 s, snr: 9.11
noise: Squeak_45_2, start: 546.3236 s end: 550.6253 s, duration: 4.3016 s, snr: 1.08
noise: Knock_1061_4, start: 606.1891 s end: 615.5341 s, duration: 9.3450 s, snr: 4.79
noise: Computer_816_1, start: 618.2547 s end: 622.8574 s, duration: 4.6027 s, snr: 7.33
noise: Door_1560_1, start: 626.0243 s end: 631.1291 s, duration: 5.1048 s, snr: 3.88
noise: Telephone_286_1, start: 633.2436 s end: 649.8819 s, duration: 16.6384 s, snr: 8.79
noise: Scissors_93_3, start: 642.9432 s end: 646.2019 s, duration: 3.2587 s, snr: 5.90
noise: Telephone_39_2, start: 660.9532 s end: 682.8256 s, duration: 21.8724 s, snr: 7.12
noise: Computer_417_2, start: 664.3887 s end: 679.5794 s, duration: 15.1906 s, snr: 4.86
