TS3009c, length = 2580.00 s, percent_of_speech = 0.85, percent_of_noises = 0.51
noise: Signalization_148_4, start: 40.3407 s end: 48.1555 s, duration: 7.8148 s, snr: 3.01
noise: Scissors_17_2, start: 51.9512 s end: 57.4034 s, duration: 5.4522 s, snr: 6.31
noise: Signalization_132_3, start: 87.8321 s end: 98.3646 s, duration: 10.5325 s, snr: 5.34
noise: Drawer_27_1, start: 89.3915 s end: 107.1379 s, duration: 17.7464 s, snr: 6.76
noise: Computer_532_1, start: 107.3264 s end: 112.5180 s, duration: 5.1916 s, snr: 5.24
noise: Knock_546_2, start: 182.0104 s end: 187.0981 s, duration: 5.0877 s, snr: 2.32
noise: Writing_98_4, start: 197.2744 s end: 215.1406 s, duration: 17.8663 s, snr: 0.83
noise: Telephone_193_3, start: 217.8025 s end: 225.3682 s, duration: 7.5657 s, snr: 9.72
noise: Door_1607_1, start: 227.2751 s end: 230.3434 s, duration: 3.0683 s, snr: 6.13
noise: Writing_22_4, start: 230.4243 s end: 237.3304 s, duration: 6.9061 s, snr: -1.00
noise: Tool_3954_1, start: 245.5255 s end: 250.0581 s, duration: 4.5326 s, snr: 6.22
noise: Street_92_2, start: 250.2605 s end: 255.7930 s, duration: 5.5325 s, snr: 6.95
noise: Street_40_3, start: 274.7534 s end: 278.2859 s, duration: 3.5325 s, snr: 4.57
noise: Writing_113_2, start: 279.9314 s end: 303.2397 s, duration: 23.3082 s, snr: 9.79
noise: Street_73_1, start: 293.2806 s end: 296.8131 s, duration: 3.5325 s, snr: -1.00
noise: Babble_59_3, start: 304.1343 s end: 309.6796 s, duration: 5.5454 s, snr: 20.59
noise: Squeak_233_1, start: 316.6074 s end: 327.1356 s, duration: 10.5281 s, snr: 7.76
noise: Knock_1031_0, start: 317.3644 s end: 320.9277 s, duration: 3.5632 s, snr: 3.80
noise: Street_107_4, start: 324.8459 s end: 330.3861 s, duration: 5.5401 s, snr: 5.47
noise: Scissors_20_2, start: 326.9567 s end: 338.5634 s, duration: 11.6066 s, snr: 4.27
noise: Door_4846_2, start: 392.1925 s end: 397.3880 s, duration: 5.1955 s, snr: 1.03
noise: Knock_166_3, start: 394.2298 s end: 397.9719 s, duration: 3.7421 s, snr: 4.81
noise: Signalization_83_0, start: 399.1673 s end: 404.7126 s, duration: 5.5454 s, snr: 4.60
noise: Street_24_0, start: 402.1592 s end: 405.7046 s, duration: 3.5454 s, snr: 8.39
noise: Telephone_44_3, start: 432.1873 s end: 437.2974 s, duration: 5.1101 s, snr: 4.70
noise: Telephone_748_0, start: 474.7798 s end: 499.6639 s, duration: 24.8841 s, snr: 7.54
noise: Door_4527_4, start: 480.0847 s end: 483.8136 s, duration: 3.7289 s, snr: 3.92
noise: Squeak_109_0, start: 503.6519 s end: 528.6841 s, duration: 25.0322 s, snr: 6.68
noise: Telephone_792_0, start: 513.0683 s end: 519.7772 s, duration: 6.7089 s, snr: 6.84
noise: Gunshot_136_3, start: 515.1818 s end: 527.3306 s, duration: 12.1488 s, snr: 6.91
noise: Babble_181_3, start: 529.2094 s end: 549.7391 s, duration: 20.5296 s, snr: 14.83
noise: Computer_123_2, start: 533.6885 s end: 541.1089 s, duration: 7.4204 s, snr: 4.52
noise: Squeak_112_4, start: 553.3357 s end: 578.8060 s, duration: 25.4703 s, snr: 7.27
noise: Computer_563_1, start: 597.8561 s end: 603.3803 s, duration: 5.5242 s, snr: 5.68
noise: Scissors_2_4, start: 615.3974 s end: 619.8038 s, duration: 4.4064 s, snr: 4.32
