TS3011c, length = 2395.00 s, percent_of_speech = 0.85, percent_of_noises = 0.60
noise: Telephone_300_3, start: 6.3952 s end: 11.3297 s, duration: 4.9345 s, snr: 2.96
noise: Babble_175_2, start: 6.4186 s end: 26.9639 s, duration: 20.5454 s, snr: 13.10
noise: Knock_205_3, start: 13.3013 s end: 16.5963 s, duration: 3.2950 s, snr: 2.76
noise: Computer_396_0, start: 16.8233 s end: 32.7069 s, duration: 15.8836 s, snr: 10.04
noise: Babble_181_1, start: 16.9183 s end: 37.4482 s, duration: 20.5299 s, snr: 18.00
noise: Squeak_189_1, start: 44.0436 s end: 52.7157 s, duration: 8.6721 s, snr: 6.17
noise: Signalization_134_0, start: 102.3741 s end: 112.9066 s, duration: 10.5325 s, snr: 4.86
noise: Squeak_85_2, start: 102.4106 s end: 105.9798 s, duration: 3.5692 s, snr: 2.89
noise: Telephone_178_1, start: 106.9220 s end: 115.2070 s, duration: 8.2850 s, snr: 7.47
noise: Signalization_18_2, start: 108.2087 s end: 111.5508 s, duration: 3.3421 s, snr: 7.80
noise: Tool_2920_1, start: 109.4483 s end: 113.9779 s, duration: 4.5296 s, snr: 7.95
noise: Door_1501_1, start: 118.7502 s end: 122.7965 s, duration: 4.0463 s, snr: 5.66
noise: Scissors_32_4, start: 121.1346 s end: 148.0614 s, duration: 26.9267 s, snr: 10.44
noise: Knock_1238_3, start: 121.2692 s end: 126.3958 s, duration: 5.1265 s, snr: 8.52
noise: Drawer_36_0, start: 138.2379 s end: 150.9255 s, duration: 12.6876 s, snr: 9.77
noise: Telephone_199_2, start: 148.1051 s end: 155.8621 s, duration: 7.7570 s, snr: 6.55
noise: Street_94_2, start: 155.7778 s end: 161.3073 s, duration: 5.5295 s, snr: 3.84
noise: Scissors_85_2, start: 155.8756 s end: 159.4417 s, duration: 3.5661 s, snr: 4.06
noise: Computer_635_2, start: 178.9175 s end: 183.7694 s, duration: 4.8519 s, snr: 9.86
noise: Street_71_3, start: 186.2005 s end: 189.7330 s, duration: 3.5325 s, snr: 3.97
noise: Computer_540_4, start: 196.1149 s end: 201.1157 s, duration: 5.0008 s, snr: 8.00
noise: Tool_3916_4, start: 196.9567 s end: 201.4856 s, duration: 4.5289 s, snr: 4.96
noise: Knock_1911_4, start: 215.7299 s end: 221.2247 s, duration: 5.4947 s, snr: 8.34
noise: Squeak_37_0, start: 216.8905 s end: 221.2296 s, duration: 4.3391 s, snr: 6.38
noise: Squeak_187_0, start: 218.4951 s end: 223.2429 s, duration: 4.7477 s, snr: 6.79
noise: Door_16_1, start: 226.9963 s end: 230.6846 s, duration: 3.6883 s, snr: 6.41
noise: Computer_1068_0, start: 233.2138 s end: 243.7019 s, duration: 10.4881 s, snr: 9.93
noise: Squeak_255_0, start: 234.0241 s end: 241.5118 s, duration: 7.4876 s, snr: 5.01
noise: Computer_428_3, start: 253.7991 s end: 277.7456 s, duration: 23.9465 s, snr: 7.18
noise: Knock_761_2, start: 284.5051 s end: 289.1986 s, duration: 4.6935 s, snr: -1.00
noise: Door_4968_3, start: 291.8069 s end: 295.9139 s, duration: 4.1070 s, snr: 1.20
noise: Door_156_4, start: 293.8737 s end: 298.1433 s, duration: 4.2695 s, snr: 7.62
noise: Telephone_156_3, start: 297.5334 s end: 303.9699 s, duration: 6.4365 s, snr: 3.30
noise: Squeak_100_0, start: 335.4284 s end: 339.4608 s, duration: 4.0324 s, snr: 6.03
noise: Computer_516_2, start: 366.6168 s end: 371.7295 s, duration: 5.1127 s, snr: 2.91
noise: Squeak_91_0, start: 380.3460 s end: 384.3942 s, duration: 4.0482 s, snr: 6.28
noise: Knock_1485_1, start: 409.9555 s end: 413.7937 s, duration: 3.8383 s, snr: -1.00
noise: Computer_1071_2, start: 415.9116 s end: 422.1031 s, duration: 6.1915 s, snr: 4.19
noise: Gunshot_71_3, start: 430.8106 s end: 434.9855 s, duration: 4.1749 s, snr: 1.70
noise: Signalization_99_0, start: 432.5890 s end: 438.1182 s, duration: 5.5292 s, snr: 5.63
noise: Drawer_39_2, start: 436.8269 s end: 439.9529 s, duration: 3.1260 s, snr: 1.06
noise: Computer_772_3, start: 444.3118 s end: 447.4793 s, duration: 3.1675 s, snr: 1.39
noise: Street_66_1, start: 477.3309 s end: 480.8763 s, duration: 3.5454 s, snr: 10.52
noise: Tool_2618_4, start: 482.1737 s end: 486.7019 s, duration: 4.5282 s, snr: 6.34
noise: Scissors_93_1, start: 485.1747 s end: 488.4342 s, duration: 3.2595 s, snr: 0.63
noise: Door_1271_3, start: 494.4010 s end: 498.1447 s, duration: 3.7437 s, snr: 5.41
noise: Telephone_158_2, start: 512.9071 s end: 531.4203 s, duration: 18.5132 s, snr: 6.75
noise: Drawer_87_4, start: 528.3834 s end: 532.4374 s, duration: 4.0540 s, snr: 3.86
noise: Signalization_91_2, start: 531.9125 s end: 535.5812 s, duration: 3.6687 s, snr: 8.55
noise: Computer_180_4, start: 562.0216 s end: 568.4506 s, duration: 6.4290 s, snr: 7.83
noise: Street_8_0, start: 589.8791 s end: 620.4116 s, duration: 30.5325 s, snr: 3.83
noise: Knock_1747_3, start: 601.4869 s end: 604.9844 s, duration: 3.4975 s, snr: 4.63
