ES2004b, length = 2345.49 s, percent_of_speech = 0.88, percent_of_noises = 0.51
noise: Street_66_2, start: 13.6591 s end: 17.1927 s, duration: 3.5336 s, snr: 3.39
noise: Door_1129_3, start: 22.0119 s end: 25.4913 s, duration: 3.4794 s, snr: 3.96
noise: Babble_150_2, start: 46.6581 s end: 49.8283 s, duration: 3.1703 s, snr: 11.22
noise: Computer_798_4, start: 63.9045 s end: 67.0417 s, duration: 3.1372 s, snr: 7.53
noise: Telephone_431_4, start: 64.6384 s end: 113.9059 s, duration: 49.2675 s, snr: 4.10
noise: Tool_4182_0, start: 93.1466 s end: 101.1767 s, duration: 8.0301 s, snr: 11.39
noise: Computer_1219_2, start: 140.0855 s end: 144.9146 s, duration: 4.8291 s, snr: 5.77
noise: Drawer_12_3, start: 149.1356 s end: 152.6851 s, duration: 3.5495 s, snr: 13.25
noise: Signalization_131_3, start: 157.9800 s end: 168.5086 s, duration: 10.5286 s, snr: 2.52
noise: Writing_55_0, start: 158.9113 s end: 174.4779 s, duration: 15.5666 s, snr: 4.12
noise: Drawer_10_3, start: 167.4017 s end: 190.5887 s, duration: 23.1870 s, snr: 3.77
noise: Writing_18_4, start: 183.2751 s end: 186.9811 s, duration: 3.7060 s, snr: 9.58
noise: Street_155_4, start: 186.6736 s end: 202.2114 s, duration: 15.5379 s, snr: 7.96
noise: Drawer_96_0, start: 201.5439 s end: 219.5907 s, duration: 18.0468 s, snr: 2.25
noise: Squeak_66_1, start: 209.1667 s end: 226.8988 s, duration: 17.7321 s, snr: 5.93
noise: Door_1236_3, start: 211.8247 s end: 217.1523 s, duration: 5.3275 s, snr: 4.04
noise: Writing_255_4, start: 219.0939 s end: 229.0598 s, duration: 9.9659 s, snr: 3.54
noise: Door_1693_1, start: 243.4516 s end: 247.3051 s, duration: 3.8535 s, snr: 3.62
noise: Telephone_182_4, start: 267.4513 s end: 275.0233 s, duration: 7.5720 s, snr: 10.57
noise: Scissors_76_1, start: 292.3732 s end: 303.1791 s, duration: 10.8059 s, snr: 4.12
noise: Knock_1688_3, start: 297.2655 s end: 301.1606 s, duration: 3.8951 s, snr: 3.89
noise: Scissors_48_4, start: 314.1281 s end: 324.3748 s, duration: 10.2466 s, snr: 2.07
noise: Computer_337_1, start: 331.7982 s end: 337.5557 s, duration: 5.7575 s, snr: 7.66
noise: Signalization_52_1, start: 338.6911 s end: 342.2236 s, duration: 3.5325 s, snr: 12.14
noise: Babble_186_4, start: 359.0549 s end: 379.6003 s, duration: 20.5454 s, snr: 18.20
