TS3003d, length = 2618.20 s, percent_of_speech = 0.76, percent_of_noises = 0.56
noise: Babble_27_1, start: 0.4040 s end: 5.9336 s, duration: 5.5296 s, snr: 15.54
noise: Door_4909_3, start: 8.9815 s end: 13.5571 s, duration: 4.5756 s, snr: 5.15
noise: Street_19_4, start: 26.3055 s end: 29.8459 s, duration: 3.5404 s, snr: 5.36
noise: Drawer_110_0, start: 33.4146 s end: 46.4624 s, duration: 13.0479 s, snr: 7.60
noise: Babble_105_4, start: 38.3813 s end: 43.9138 s, duration: 5.5325 s, snr: 17.09
noise: Telephone_764_0, start: 45.7272 s end: 50.7844 s, duration: 5.0571 s, snr: 2.02
noise: Gunshot_54_4, start: 74.5939 s end: 81.0793 s, duration: 6.4854 s, snr: 5.79
noise: Computer_832_2, start: 80.3868 s end: 83.5325 s, duration: 3.1457 s, snr: 1.64
noise: Computer_540_4, start: 86.3569 s end: 91.3576 s, duration: 5.0007 s, snr: 7.80
noise: Gunshot_5_1, start: 116.2732 s end: 120.0284 s, duration: 3.7552 s, snr: 7.28
noise: Scissors_28_1, start: 126.8338 s end: 132.7801 s, duration: 5.9463 s, snr: 7.11
noise: Computer_604_0, start: 138.1956 s end: 142.5961 s, duration: 4.4005 s, snr: 4.21
noise: Signalization_131_0, start: 156.7603 s end: 167.3056 s, duration: 10.5454 s, snr: 2.42
noise: Squeak_119_2, start: 174.6954 s end: 178.5996 s, duration: 3.9042 s, snr: 4.71
noise: Computer_944_1, start: 183.0491 s end: 186.7396 s, duration: 3.6905 s, snr: 3.92
noise: Street_33_4, start: 196.7429 s end: 200.2748 s, duration: 3.5319 s, snr: 6.97
noise: Knock_1290_0, start: 205.7492 s end: 209.1893 s, duration: 3.4401 s, snr: 9.15
noise: Babble_152_1, start: 206.3371 s end: 216.8809 s, duration: 10.5438 s, snr: 10.14
noise: Drawer_20_0, start: 208.1114 s end: 214.9774 s, duration: 6.8660 s, snr: 10.07
noise: Scissors_52_2, start: 228.8811 s end: 247.8474 s, duration: 18.9664 s, snr: 2.57
noise: Computer_884_3, start: 246.2266 s end: 251.1893 s, duration: 4.9627 s, snr: 8.42
noise: Signalization_107_0, start: 295.8794 s end: 301.4153 s, duration: 5.5359 s, snr: 6.77
noise: Computer_701_1, start: 300.0897 s end: 304.6137 s, duration: 4.5240 s, snr: 3.99
noise: Squeak_93_3, start: 309.6124 s end: 313.5984 s, duration: 3.9860 s, snr: 7.74
noise: Squeak_282_0, start: 312.6768 s end: 318.9658 s, duration: 6.2890 s, snr: 1.71
noise: Computer_556_4, start: 318.0337 s end: 324.5644 s, duration: 6.5308 s, snr: 5.03
noise: Telephone_445_3, start: 322.9608 s end: 356.3557 s, duration: 33.3949 s, snr: 6.44
noise: Drawer_15_4, start: 334.9664 s end: 339.1856 s, duration: 4.2192 s, snr: 4.61
noise: Writing_198_0, start: 335.5836 s end: 338.6356 s, duration: 3.0520 s, snr: 6.94
noise: Drawer_112_1, start: 341.4131 s end: 352.6600 s, duration: 11.2469 s, snr: 3.21
noise: Telephone_253_2, start: 343.3095 s end: 356.3661 s, duration: 13.0566 s, snr: 3.10
noise: Signalization_5_0, start: 346.1877 s end: 357.7830 s, duration: 11.5953 s, snr: 7.35
noise: Street_121_0, start: 373.9092 s end: 379.4364 s, duration: 5.5273 s, snr: 4.45
noise: Tool_4121_0, start: 379.8271 s end: 384.3595 s, duration: 4.5324 s, snr: 3.60
noise: Knock_1171_0, start: 401.0697 s end: 406.2296 s, duration: 5.1599 s, snr: 10.34
noise: Squeak_17_1, start: 438.6222 s end: 445.1287 s, duration: 6.5065 s, snr: 4.00
noise: Drawer_147_2, start: 455.3367 s end: 474.8238 s, duration: 19.4871 s, snr: 7.26
noise: Knock_408_0, start: 472.1203 s end: 476.8394 s, duration: 4.7191 s, snr: 6.26
noise: Drawer_93_0, start: 473.8126 s end: 479.3609 s, duration: 5.5482 s, snr: 0.58
noise: Door_1979_3, start: 478.0245 s end: 481.3721 s, duration: 3.3476 s, snr: 9.01
noise: Writing_164_4, start: 488.5115 s end: 506.7975 s, duration: 18.2860 s, snr: 6.64
noise: Computer_1204_1, start: 508.7871 s end: 512.9366 s, duration: 4.1495 s, snr: 5.22
noise: Writing_105_0, start: 513.0948 s end: 523.4808 s, duration: 10.3860 s, snr: 2.24
noise: Drawer_77_4, start: 521.9490 s end: 525.2447 s, duration: 3.2957 s, snr: -0.20
noise: Telephone_461_1, start: 531.6969 s end: 535.2530 s, duration: 3.5561 s, snr: 6.66
noise: Computer_1164_1, start: 546.1672 s end: 551.1080 s, duration: 4.9407 s, snr: 6.02
noise: Street_53_4, start: 573.7049 s end: 577.2326 s, duration: 3.5276 s, snr: 0.37
noise: Knock_1165_1, start: 629.4741 s end: 638.7501 s, duration: 9.2760 s, snr: 8.88
noise: Writing_90_2, start: 629.7269 s end: 633.4214 s, duration: 3.6945 s, snr: 6.95
noise: Telephone_367_4, start: 659.2268 s end: 671.7310 s, duration: 12.5042 s, snr: 0.81
noise: Computer_1148_0, start: 684.2408 s end: 694.4203 s, duration: 10.1795 s, snr: 6.99
noise: Knock_749_2, start: 690.4438 s end: 695.6965 s, duration: 5.2527 s, snr: 5.63
noise: Door_250_1, start: 723.6122 s end: 728.7047 s, duration: 5.0925 s, snr: 5.73
noise: Squeak_67_3, start: 729.3581 s end: 732.9391 s, duration: 3.5810 s, snr: 2.09
noise: Gunshot_94_1, start: 760.0042 s end: 764.3017 s, duration: 4.2975 s, snr: 8.18
noise: Drawer_116_0, start: 761.5441 s end: 767.3181 s, duration: 5.7740 s, snr: 8.33
noise: Street_134_0, start: 764.6817 s end: 768.2142 s, duration: 3.5325 s, snr: 13.65
noise: Babble_11_4, start: 768.7309 s end: 822.1776 s, duration: 53.4466 s, snr: 19.59
noise: Babble_123_3, start: 811.0754 s end: 821.6208 s, duration: 10.5454 s, snr: 13.50
noise: Computer_1059_0, start: 837.9231 s end: 847.9446 s, duration: 10.0215 s, snr: 4.33
noise: Drawer_151_4, start: 850.1023 s end: 856.7289 s, duration: 6.6266 s, snr: 3.98
noise: Door_70_3, start: 851.6421 s end: 854.9039 s, duration: 3.2619 s, snr: 8.94
noise: Telephone_523_1, start: 891.3122 s end: 896.4089 s, duration: 5.0967 s, snr: 0.56
noise: Computer_371_3, start: 923.2058 s end: 950.2034 s, duration: 26.9976 s, snr: 4.86
noise: Telephone_733_4, start: 937.4633 s end: 963.2185 s, duration: 25.7552 s, snr: 8.20
