EN2004a, length = 3445.67 s, percent_of_speech = 0.92, percent_of_noises = 0.57
noise: Signalization_77_0, start: 36.2603 s end: 39.7932 s, duration: 3.5329 s, snr: 6.39
noise: Computer_872_4, start: 46.9783 s end: 52.9598 s, duration: 5.9815 s, snr: 2.80
noise: Squeak_206_4, start: 50.4639 s end: 56.0364 s, duration: 5.5725 s, snr: 4.50
noise: Babble_43_2, start: 58.9885 s end: 64.5205 s, duration: 5.5320 s, snr: 13.39
noise: Writing_124_1, start: 66.6011 s end: 71.6531 s, duration: 5.0520 s, snr: 4.87
noise: Drawer_153_0, start: 72.4505 s end: 76.1990 s, duration: 3.7485 s, snr: 3.38
noise: Knock_265_4, start: 78.6670 s end: 97.6394 s, duration: 18.9724 s, snr: -0.83
noise: Computer_1010_4, start: 85.3819 s end: 93.7594 s, duration: 8.3775 s, snr: 0.61
noise: Tool_2644_2, start: 95.9816 s end: 100.5454 s, duration: 4.5638 s, snr: 6.28
noise: Computer_324_3, start: 97.0335 s end: 101.4300 s, duration: 4.3965 s, snr: 7.13
noise: Telephone_213_0, start: 103.1943 s end: 125.1624 s, duration: 21.9681 s, snr: 2.50
noise: Computer_1030_4, start: 119.8721 s end: 136.6720 s, duration: 16.7999 s, snr: 10.36
noise: Computer_788_1, start: 122.3175 s end: 127.7613 s, duration: 5.4438 s, snr: 1.62
noise: Babble_53_2, start: 130.6839 s end: 136.2233 s, duration: 5.5394 s, snr: 10.93
noise: Telephone_467_4, start: 151.7539 s end: 155.3165 s, duration: 3.5626 s, snr: 10.19
noise: Computer_1266_3, start: 153.9118 s end: 161.3256 s, duration: 7.4139 s, snr: 5.57
noise: Signalization_66_4, start: 167.6434 s end: 171.1888 s, duration: 3.5454 s, snr: 7.47
noise: Telephone_311_4, start: 170.4857 s end: 175.4184 s, duration: 4.9327 s, snr: 2.28
noise: Door_1176_3, start: 212.3567 s end: 216.8297 s, duration: 4.4730 s, snr: 2.07
noise: Scissors_54_3, start: 217.5504 s end: 227.5766 s, duration: 10.0263 s, snr: 6.20
noise: Computer_242_4, start: 243.1491 s end: 253.1002 s, duration: 9.9511 s, snr: 4.11
noise: Street_129_3, start: 249.9512 s end: 259.3766 s, duration: 9.4254 s, snr: 7.64
noise: Babble_159_2, start: 272.1692 s end: 282.7018 s, duration: 10.5325 s, snr: 14.64
noise: Babble_172_0, start: 278.2186 s end: 298.7549 s, duration: 20.5363 s, snr: 17.98
noise: Computer_432_0, start: 281.4401 s end: 296.0795 s, duration: 14.6394 s, snr: 4.82
noise: Computer_12_2, start: 322.6372 s end: 342.8237 s, duration: 20.1865 s, snr: 5.18
noise: Door_123_3, start: 336.4824 s end: 340.5999 s, duration: 4.1175 s, snr: 7.38
noise: Knock_1795_4, start: 346.1499 s end: 352.1084 s, duration: 5.9585 s, snr: 5.05
noise: Door_636_3, start: 350.6234 s end: 353.7455 s, duration: 3.1221 s, snr: 0.68
noise: Gunshot_22_1, start: 376.5386 s end: 380.8883 s, duration: 4.3497 s, snr: 4.76
noise: Computer_1196_1, start: 401.1427 s end: 406.5619 s, duration: 5.4192 s, snr: 4.87
noise: Computer_1201_1, start: 403.6224 s end: 410.1769 s, duration: 6.5545 s, snr: 6.98
