ES2015b, length = 2294.86 s, percent_of_speech = 0.90, percent_of_noises = 0.52
noise: Computer_679_1, start: 12.7171 s end: 16.2799 s, duration: 3.5628 s, snr: 0.84
noise: Scissors_37_4, start: 41.9604 s end: 56.9064 s, duration: 14.9460 s, snr: 6.68
noise: Drawer_3_3, start: 61.8004 s end: 82.4271 s, duration: 20.6266 s, snr: 2.46
noise: Babble_150_2, start: 111.6835 s end: 114.8538 s, duration: 3.1703 s, snr: 17.72
noise: Telephone_273_1, start: 111.9660 s end: 130.5070 s, duration: 18.5410 s, snr: 1.52
noise: Street_39_4, start: 115.6327 s end: 119.1652 s, duration: 3.5325 s, snr: 6.38
noise: Writing_73_0, start: 133.3450 s end: 139.0116 s, duration: 5.6666 s, snr: 2.02
noise: Writing_65_2, start: 198.7031 s end: 202.4373 s, duration: 3.7343 s, snr: 3.83
noise: Babble_110_0, start: 210.5256 s end: 216.0581 s, duration: 5.5325 s, snr: 16.35
noise: Door_1243_2, start: 216.4742 s end: 220.8919 s, duration: 4.4178 s, snr: 6.29
noise: Drawer_47_1, start: 232.2946 s end: 239.3425 s, duration: 7.0479 s, snr: 5.31
noise: Street_63_0, start: 267.7292 s end: 271.2617 s, duration: 3.5325 s, snr: 1.79
noise: Signalization_16_1, start: 291.7944 s end: 315.0506 s, duration: 23.2563 s, snr: 6.65
noise: Door_2283_1, start: 304.2546 s end: 308.0876 s, duration: 3.8330 s, snr: 0.98
noise: Squeak_144_4, start: 329.3030 s end: 333.0765 s, duration: 3.7735 s, snr: 6.43
noise: Telephone_815_0, start: 357.1218 s end: 379.0063 s, duration: 21.8845 s, snr: 9.27
noise: Drawer_147_0, start: 360.1648 s end: 379.6526 s, duration: 19.4878 s, snr: 5.93
noise: Babble_70_4, start: 360.7320 s end: 366.2751 s, duration: 5.5431 s, snr: 10.29
noise: Computer_1107_1, start: 368.8895 s end: 378.8519 s, duration: 9.9624 s, snr: 0.99
noise: Door_2358_4, start: 377.1839 s end: 380.7824 s, duration: 3.5985 s, snr: 5.67
noise: Tool_3998_2, start: 400.3986 s end: 404.9304 s, duration: 4.5319 s, snr: 4.54
noise: Signalization_103_3, start: 403.7677 s end: 409.3950 s, duration: 5.6273 s, snr: 5.94
noise: Telephone_385_3, start: 416.1367 s end: 424.1404 s, duration: 8.0038 s, snr: 7.86
