EN2006b, length = 3052.26 s, percent_of_speech = 0.70, percent_of_noises = 0.49
noise: Telephone_799_2, start: 7.1915 s end: 18.7965 s, duration: 11.6050 s, snr: 9.97
noise: Telephone_153_4, start: 20.9989 s end: 28.0528 s, duration: 7.0539 s, snr: 3.51
noise: Knock_1100_2, start: 28.1292 s end: 38.2939 s, duration: 10.1647 s, snr: 1.16
noise: Door_4224_3, start: 30.0746 s end: 33.9449 s, duration: 3.8704 s, snr: 4.80
noise: Knock_827_4, start: 67.9526 s end: 71.8792 s, duration: 3.9266 s, snr: 12.38
noise: Knock_802_1, start: 69.6912 s end: 72.7352 s, duration: 3.0440 s, snr: 8.49
noise: Telephone_735_4, start: 73.3173 s end: 100.9937 s, duration: 27.6764 s, snr: 3.18
noise: Squeak_194_3, start: 77.2087 s end: 81.6191 s, duration: 4.4104 s, snr: 11.73
noise: Babble_2_1, start: 85.7754 s end: 146.3208 s, duration: 60.5454 s, snr: 16.31
noise: Knock_1741_0, start: 101.2941 s end: 105.6500 s, duration: 4.3559 s, snr: 6.31
noise: Telephone_743_3, start: 125.4257 s end: 155.9651 s, duration: 30.5394 s, snr: -1.00
noise: Door_72_3, start: 165.7014 s end: 169.3005 s, duration: 3.5991 s, snr: 6.90
noise: Door_774_4, start: 193.3342 s end: 196.8379 s, duration: 3.5036 s, snr: 2.68
noise: Babble_24_0, start: 196.8379 s end: 199.9993 s, duration: 3.1614 s, snr: 17.54
noise: Telephone_302_3, start: 233.0654 s end: 238.0001 s, duration: 4.9348 s, snr: 5.34
noise: Signalization_148_3, start: 247.3671 s end: 255.1819 s, duration: 7.8148 s, snr: 2.16
noise: Babble_55_4, start: 254.3851 s end: 259.9188 s, duration: 5.5337 s, snr: 14.41
noise: Telephone_349_4, start: 260.0913 s end: 263.7820 s, duration: 3.6907 s, snr: 8.17
noise: Knock_912_2, start: 283.6779 s end: 287.5574 s, duration: 3.8795 s, snr: 11.73
noise: Knock_350_0, start: 286.7391 s end: 290.1168 s, duration: 3.3776 s, snr: 2.44
noise: Telephone_408_0, start: 286.9116 s end: 296.5647 s, duration: 9.6531 s, snr: 0.95
noise: Street_5_2, start: 294.0539 s end: 303.4793 s, duration: 9.4254 s, snr: 7.79
noise: Squeak_69_4, start: 296.0378 s end: 300.2646 s, duration: 4.2268 s, snr: 4.96
noise: Squeak_209_4, start: 320.5990 s end: 325.2912 s, duration: 4.6923 s, snr: 4.75
noise: Street_85_3, start: 370.2635 s end: 375.8089 s, duration: 5.5454 s, snr: 7.36
noise: Computer_1256_4, start: 378.8614 s end: 385.5131 s, duration: 6.6517 s, snr: 1.92
noise: Scissors_61_1, start: 388.5386 s end: 401.5450 s, duration: 13.0064 s, snr: 4.42
noise: Telephone_714_1, start: 397.3536 s end: 401.3136 s, duration: 3.9600 s, snr: 0.51
noise: Computer_1118_2, start: 409.4613 s end: 418.1784 s, duration: 8.7171 s, snr: 5.32
noise: Signalization_27_2, start: 414.4644 s end: 418.0097 s, duration: 3.5454 s, snr: 7.61
noise: Writing_117_4, start: 431.9714 s end: 447.9976 s, duration: 16.0263 s, snr: 10.13
noise: Signalization_89_4, start: 433.9451 s end: 439.4905 s, duration: 5.5454 s, snr: 11.36
noise: Computer_634_0, start: 452.1029 s end: 456.2677 s, duration: 4.1649 s, snr: 9.71
noise: Computer_805_1, start: 455.5728 s end: 459.5433 s, duration: 3.9705 s, snr: 2.48
noise: Door_1703_0, start: 510.3482 s end: 514.7548 s, duration: 4.4066 s, snr: 7.65
noise: Knock_1492_0, start: 534.3691 s end: 537.6520 s, duration: 3.2829 s, snr: 5.37
noise: Scissors_20_1, start: 540.6106 s end: 552.2166 s, duration: 11.6060 s, snr: 3.84
noise: Drawer_91_0, start: 545.9384 s end: 550.2473 s, duration: 4.3089 s, snr: 4.10
noise: Computer_337_1, start: 547.3456 s end: 553.1031 s, duration: 5.7575 s, snr: 9.06
noise: Door_1010_3, start: 560.1432 s end: 564.2608 s, duration: 4.1175 s, snr: 8.37
noise: Scissors_44_0, start: 590.9990 s end: 617.5255 s, duration: 26.5265 s, snr: 5.25
noise: Drawer_26_0, start: 600.2002 s end: 603.3732 s, duration: 3.1730 s, snr: 4.14
noise: Computer_824_4, start: 610.6555 s end: 616.3157 s, duration: 5.6603 s, snr: 6.34
