TS3005a, length = 1318.85 s, percent_of_speech = 0.76, percent_of_noises = 0.58
noise: Tool_3014_0, start: 1.1402 s end: 5.6711 s, duration: 4.5309 s, snr: 5.62
noise: Writing_248_0, start: 1.6951 s end: 11.7211 s, duration: 10.0260 s, snr: 5.95
noise: Tool_3240_0, start: 5.8369 s end: 10.3666 s, duration: 4.5296 s, snr: 1.35
noise: Signalization_127_4, start: 9.0700 s end: 19.6047 s, duration: 10.5347 s, snr: 3.81
noise: Signalization_91_0, start: 51.7667 s end: 55.4354 s, duration: 3.6687 s, snr: 7.32
noise: Babble_194_0, start: 74.3507 s end: 78.9426 s, duration: 4.5919 s, snr: 14.89
noise: Computer_444_0, start: 93.8893 s end: 109.2820 s, duration: 15.3927 s, snr: 2.37
noise: Scissors_10_0, start: 132.3943 s end: 141.0804 s, duration: 8.6861 s, snr: 3.36
noise: Telephone_98_0, start: 137.9708 s end: 145.3839 s, duration: 7.4131 s, snr: 8.48
noise: Knock_410_2, start: 143.2664 s end: 148.4954 s, duration: 5.2290 s, snr: 9.15
noise: Telephone_164_0, start: 157.4684 s end: 175.9878 s, duration: 18.5194 s, snr: 4.08
noise: Door_468_2, start: 162.8821 s end: 166.8174 s, duration: 3.9354 s, snr: 3.42
noise: Telephone_2_1, start: 165.6741 s end: 175.0806 s, duration: 9.4065 s, snr: 6.01
noise: Door_339_0, start: 210.8466 s end: 215.4264 s, duration: 4.5798 s, snr: 8.28
noise: Gunshot_63_2, start: 213.3786 s end: 216.5961 s, duration: 3.2175 s, snr: 4.70
noise: Signalization_64_1, start: 217.4573 s end: 220.9898 s, duration: 3.5325 s, snr: 5.12
noise: Computer_696_1, start: 232.8269 s end: 236.1740 s, duration: 3.3471 s, snr: 5.06
noise: Door_983_0, start: 240.7065 s end: 244.3705 s, duration: 3.6640 s, snr: 10.63
noise: Tool_3974_1, start: 243.5624 s end: 248.0936 s, duration: 4.5312 s, snr: 5.54
noise: Computer_27_1, start: 273.7142 s end: 282.9404 s, duration: 9.2262 s, snr: 5.62
noise: Telephone_230_3, start: 277.7394 s end: 304.3201 s, duration: 26.5808 s, snr: 1.32
noise: Squeak_202_3, start: 298.5121 s end: 302.7785 s, duration: 4.2664 s, snr: 6.49
noise: Writing_242_4, start: 311.0309 s end: 314.1741 s, duration: 3.1433 s, snr: 2.16
noise: Door_1120_4, start: 320.3016 s end: 325.4641 s, duration: 5.1625 s, snr: 10.07
noise: Street_160_4, start: 344.7726 s end: 360.3166 s, duration: 15.5440 s, snr: 0.89
noise: Door_1181_0, start: 356.2234 s end: 359.7034 s, duration: 3.4800 s, snr: 5.34
noise: Door_1155_0, start: 371.3318 s end: 375.1713 s, duration: 3.8395 s, snr: 3.43
noise: Computer_999_1, start: 373.0503 s end: 381.4377 s, duration: 8.3874 s, snr: 2.00
noise: Knock_909_3, start: 380.9074 s end: 384.0490 s, duration: 3.1416 s, snr: 0.56
noise: Computer_647_4, start: 404.7800 s end: 408.4683 s, duration: 3.6883 s, snr: 4.12
noise: Street_77_0, start: 405.2909 s end: 410.8214 s, duration: 5.5305 s, snr: 6.70
noise: Squeak_183_2, start: 406.7058 s end: 412.8771 s, duration: 6.1714 s, snr: 4.85
noise: Door_2343_2, start: 437.1323 s end: 440.7213 s, duration: 3.5890 s, snr: 8.80
noise: Door_2384_3, start: 440.6441 s end: 444.5371 s, duration: 3.8930 s, snr: 4.13
noise: Drawer_54_1, start: 460.0331 s end: 463.2501 s, duration: 3.2170 s, snr: -1.00
noise: Signalization_134_3, start: 461.3040 s end: 471.8365 s, duration: 10.5325 s, snr: 7.11
noise: Telephone_750_2, start: 471.8215 s end: 506.4096 s, duration: 34.5881 s, snr: 1.19
noise: Computer_1197_1, start: 480.5291 s end: 485.0125 s, duration: 4.4834 s, snr: 6.30
noise: Knock_1782_4, start: 523.7239 s end: 527.9214 s, duration: 4.1975 s, snr: 6.36
noise: Drawer_11_3, start: 528.6949 s end: 540.0216 s, duration: 11.3266 s, snr: 8.17
noise: Babble_16_4, start: 545.2451 s end: 550.6622 s, duration: 5.4171 s, snr: 18.09
noise: Writing_246_1, start: 563.9954 s end: 567.9768 s, duration: 3.9814 s, snr: 5.68
noise: Signalization_14_4, start: 590.4502 s end: 620.9852 s, duration: 30.5350 s, snr: 1.62
noise: Writing_1_3, start: 600.8710 s end: 605.2430 s, duration: 4.3720 s, snr: 5.50
noise: Signalization_71_0, start: 607.1166 s end: 610.6620 s, duration: 3.5454 s, snr: 2.89
noise: Knock_974_4, start: 620.3473 s end: 623.6877 s, duration: 3.3404 s, snr: 0.17
noise: Street_62_4, start: 623.3922 s end: 626.9182 s, duration: 3.5260 s, snr: 8.05
noise: Squeak_265_3, start: 682.8087 s end: 686.7409 s, duration: 3.9322 s, snr: 8.11
noise: Tool_3516_2, start: 705.1276 s end: 709.6590 s, duration: 4.5314 s, snr: 2.32
noise: Signalization_26_0, start: 734.9298 s end: 738.4614 s, duration: 3.5316 s, snr: 6.19
noise: Squeak_16_0, start: 749.2238 s end: 753.7509 s, duration: 4.5271 s, snr: 0.60
noise: Squeak_107_3, start: 759.7126 s end: 763.5773 s, duration: 3.8647 s, snr: 1.12
noise: Scissors_16_3, start: 780.4874 s end: 787.3734 s, duration: 6.8860 s, snr: 4.24
noise: Squeak_45_1, start: 781.0498 s end: 785.3361 s, duration: 4.2862 s, snr: 4.46
noise: Scissors_56_1, start: 802.3980 s end: 807.7732 s, duration: 5.3752 s, snr: 7.63
noise: Computer_325_4, start: 816.0077 s end: 819.2939 s, duration: 3.2861 s, snr: 5.02
noise: Drawer_88_1, start: 839.4739 s end: 843.8238 s, duration: 4.3499 s, snr: 5.60
