TS3005b, length = 2439.91 s, percent_of_speech = 0.88, percent_of_noises = 0.45
noise: Telephone_805_2, start: 39.1304 s end: 51.7546 s, duration: 12.6242 s, snr: 6.14
noise: Squeak_73_1, start: 78.2628 s end: 93.2302 s, duration: 14.9674 s, snr: 6.88
noise: Computer_1167_1, start: 104.8583 s end: 110.9594 s, duration: 6.1011 s, snr: 2.53
noise: Telephone_13_4, start: 109.6616 s end: 114.4320 s, duration: 4.7704 s, snr: 7.72
noise: Tool_2959_1, start: 135.6054 s end: 140.1362 s, duration: 4.5308 s, snr: 3.06
noise: Squeak_128_3, start: 168.3366 s end: 197.1836 s, duration: 28.8470 s, snr: 1.48
noise: Tool_3156_4, start: 209.9179 s end: 212.9314 s, duration: 3.0135 s, snr: 6.94
noise: Signalization_154_3, start: 241.6275 s end: 246.1994 s, duration: 4.5719 s, snr: 4.80
noise: Telephone_645_0, start: 282.1234 s end: 292.1403 s, duration: 10.0169 s, snr: 6.57
noise: Knock_563_0, start: 314.5200 s end: 318.8908 s, duration: 4.3708 s, snr: 6.31
noise: Telephone_564_2, start: 317.1320 s end: 336.6580 s, duration: 19.5260 s, snr: 3.64
noise: Computer_196_3, start: 340.7211 s end: 345.0372 s, duration: 4.3161 s, snr: 8.95
noise: Writing_65_4, start: 403.4867 s end: 407.2210 s, duration: 3.7343 s, snr: 2.94
noise: Knock_1429_4, start: 408.7330 s end: 413.1520 s, duration: 4.4190 s, snr: 5.15
noise: Signalization_7_3, start: 415.9925 s end: 422.3841 s, duration: 6.3916 s, snr: 5.64
noise: Telephone_72_1, start: 418.2047 s end: 423.8640 s, duration: 5.6592 s, snr: 6.57
noise: Door_1745_2, start: 437.1524 s end: 440.3017 s, duration: 3.1492 s, snr: 3.30
noise: Scissors_1_3, start: 445.5588 s end: 464.2053 s, duration: 18.6465 s, snr: 3.61
noise: Door_2272_3, start: 447.8580 s end: 451.7795 s, duration: 3.9215 s, snr: 5.41
noise: Drawer_51_0, start: 460.3029 s end: 464.4511 s, duration: 4.1483 s, snr: 5.30
