TS3006b, length = 2353.90 s, percent_of_speech = 0.92, percent_of_noises = 0.59
noise: Knock_224_1, start: 1.9757 s end: 5.1964 s, duration: 3.2207 s, snr: 6.02
noise: Computer_102_4, start: 8.4302 s end: 21.2963 s, duration: 12.8661 s, snr: 6.98
noise: Scissors_0_2, start: 24.3683 s end: 33.7751 s, duration: 9.4067 s, snr: 2.74
noise: Computer_1255_0, start: 106.9035 s end: 116.2004 s, duration: 9.2969 s, snr: 6.59
noise: Babble_85_1, start: 109.5812 s end: 115.1266 s, duration: 5.5454 s, snr: 10.00
noise: Street_81_3, start: 122.9679 s end: 128.5004 s, duration: 5.5325 s, snr: 5.00
noise: Telephone_129_3, start: 135.4973 s end: 139.8323 s, duration: 4.3350 s, snr: 2.11
noise: Door_1201_1, start: 180.7590 s end: 185.7195 s, duration: 4.9605 s, snr: 6.18
noise: Squeak_186_0, start: 194.5550 s end: 197.8137 s, duration: 3.2587 s, snr: 9.78
noise: Scissors_55_2, start: 232.1406 s end: 243.3068 s, duration: 11.1663 s, snr: -0.23
noise: Door_154_4, start: 237.5215 s end: 241.5613 s, duration: 4.0397 s, snr: -0.89
noise: Door_4324_4, start: 254.9835 s end: 258.3875 s, duration: 3.4040 s, snr: 5.40
noise: Squeak_221_0, start: 279.3738 s end: 284.0291 s, duration: 4.6553 s, snr: 8.32
noise: Street_59_4, start: 286.0076 s end: 289.5401 s, duration: 3.5325 s, snr: 2.79
noise: Squeak_128_3, start: 306.3329 s end: 335.1799 s, duration: 28.8470 s, snr: 5.46
noise: Signalization_114_4, start: 319.4214 s end: 324.9491 s, duration: 5.5276 s, snr: 2.20
noise: Signalization_117_1, start: 364.8891 s end: 375.4344 s, duration: 10.5454 s, snr: 9.11
noise: Computer_845_0, start: 392.0942 s end: 396.9590 s, duration: 4.8648 s, snr: 11.88
noise: Tool_2984_3, start: 415.5989 s end: 420.1306 s, duration: 4.5316 s, snr: 5.22
noise: Computer_703_0, start: 428.6932 s end: 431.8367 s, duration: 3.1435 s, snr: 10.09
noise: Scissors_54_3, start: 437.3701 s end: 447.3964 s, duration: 10.0263 s, snr: 4.92
noise: Street_33_2, start: 478.7427 s end: 482.2881 s, duration: 3.5454 s, snr: 3.19
noise: Telephone_186_2, start: 533.7579 s end: 541.3246 s, duration: 7.5666 s, snr: 2.95
noise: Squeak_102_0, start: 536.6199 s end: 547.5867 s, duration: 10.9668 s, snr: 6.56
noise: Knock_977_3, start: 543.8056 s end: 546.9124 s, duration: 3.1068 s, snr: 7.35
noise: Squeak_73_4, start: 549.5169 s end: 564.4892 s, duration: 14.9724 s, snr: 7.81
noise: Squeak_42_0, start: 558.6988 s end: 571.5127 s, duration: 12.8139 s, snr: 9.25
noise: Gunshot_97_1, start: 559.5756 s end: 563.6549 s, duration: 4.0793 s, snr: 6.10
noise: Door_1848_2, start: 570.1599 s end: 574.4747 s, duration: 4.3148 s, snr: 2.31
noise: Door_325_2, start: 582.6949 s end: 587.3417 s, duration: 4.6467 s, snr: 4.18
noise: Computer_153_0, start: 596.7352 s end: 602.3414 s, duration: 5.6061 s, snr: 11.19
noise: Telephone_766_4, start: 607.7904 s end: 612.4066 s, duration: 4.6161 s, snr: 7.85
noise: Street_49_3, start: 644.8408 s end: 648.3698 s, duration: 3.5290 s, snr: 7.88
noise: Knock_1484_4, start: 662.3209 s end: 667.9929 s, duration: 5.6720 s, snr: 8.48
noise: Drawer_42_3, start: 681.3316 s end: 689.0209 s, duration: 7.6894 s, snr: -1.00
noise: Knock_1106_3, start: 685.8626 s end: 697.7251 s, duration: 11.8625 s, snr: 1.30
noise: Babble_48_3, start: 703.6693 s end: 709.2000 s, duration: 5.5308 s, snr: 18.68
noise: Signalization_146_4, start: 709.1522 s end: 724.6923 s, duration: 15.5401 s, snr: 1.60
noise: Computer_810_3, start: 749.9280 s end: 753.7537 s, duration: 3.8257 s, snr: 0.82
noise: Scissors_13_3, start: 756.3065 s end: 759.5664 s, duration: 3.2599 s, snr: 2.95
noise: Gunshot_65_4, start: 765.2494 s end: 769.8386 s, duration: 4.5892 s, snr: 4.56
noise: Telephone_650_0, start: 792.9510 s end: 803.9981 s, duration: 11.0471 s, snr: 3.69
noise: Telephone_513_2, start: 794.0762 s end: 800.0693 s, duration: 5.9930 s, snr: 10.05
noise: Knock_6_0, start: 801.3713 s end: 805.8655 s, duration: 4.4942 s, snr: 1.24
noise: Door_1806_2, start: 803.6218 s end: 806.7146 s, duration: 3.0928 s, snr: 3.42
noise: Signalization_69_3, start: 809.1266 s end: 812.6719 s, duration: 3.5454 s, snr: 5.14
noise: Computer_865_4, start: 825.6197 s end: 831.0477 s, duration: 5.4280 s, snr: 4.91
noise: Signalization_6_4, start: 833.7226 s end: 840.0993 s, duration: 6.3768 s, snr: 5.89
noise: Babble_12_0, start: 842.0677 s end: 902.6131 s, duration: 60.5454 s, snr: 16.81
noise: Squeak_193_0, start: 895.2476 s end: 899.5923 s, duration: 4.3448 s, snr: 10.85
noise: Scissors_87_2, start: 912.0709 s end: 919.8568 s, duration: 7.7859 s, snr: 7.72
noise: Door_4279_1, start: 929.4264 s end: 933.7202 s, duration: 4.2937 s, snr: -0.18
noise: Writing_187_2, start: 934.5581 s end: 946.9846 s, duration: 12.4265 s, snr: 4.74
