IB4004, length = 2393.00 s, percent_of_speech = 0.94, percent_of_noises = 0.61
noise: Knock_881_4, start: 16.2564 s end: 21.9691 s, duration: 5.7127 s, snr: 4.52
noise: Scissors_31_2, start: 30.1020 s end: 35.0740 s, duration: 4.9720 s, snr: 1.54
noise: Telephone_359_2, start: 43.3415 s end: 46.8743 s, duration: 3.5328 s, snr: -1.00
noise: Tool_2895_1, start: 48.1964 s end: 376.1411 s, duration: 327.9446 s, snr: 6.91
noise: Telephone_391_4, start: 56.9321 s end: 68.7891 s, duration: 11.8570 s, snr: 6.16
noise: Street_117_4, start: 67.4398 s end: 72.9723 s, duration: 5.5325 s, snr: 2.30
noise: Tool_4106_0, start: 82.3847 s end: 86.9144 s, duration: 4.5298 s, snr: 7.04
noise: Telephone_28_2, start: 83.9409 s end: 86.9700 s, duration: 3.0291 s, snr: 8.76
noise: Street_0_1, start: 87.4561 s end: 110.2840 s, duration: 22.8279 s, snr: 4.58
noise: Telephone_293_1, start: 119.6238 s end: 137.4596 s, duration: 17.8359 s, snr: 5.32
noise: Telephone_672_4, start: 146.0499 s end: 180.4925 s, duration: 34.4426 s, snr: 5.34
noise: Door_792_1, start: 160.6467 s end: 165.2777 s, duration: 4.6310 s, snr: -1.00
noise: Tool_3899_2, start: 171.3034 s end: 175.8372 s, duration: 4.5337 s, snr: 2.12
noise: Signalization_24_4, start: 174.4586 s end: 178.0040 s, duration: 3.5454 s, snr: 4.81
noise: Computer_1218_0, start: 196.5492 s end: 202.4882 s, duration: 5.9390 s, snr: 7.49
noise: Computer_938_4, start: 203.6239 s end: 207.3244 s, duration: 3.7005 s, snr: 9.08
noise: Scissors_50_4, start: 215.4274 s end: 220.0802 s, duration: 4.6527 s, snr: 4.79
noise: Gunshot_120_2, start: 273.7403 s end: 276.8764 s, duration: 3.1361 s, snr: 7.89
noise: Computer_1065_0, start: 278.8699 s end: 291.6086 s, duration: 12.7388 s, snr: 6.24
