TS3009d, length = 2056.20 s, percent_of_speech = 0.89, percent_of_noises = 0.45
noise: Knock_1164_1, start: 4.2077 s end: 13.8976 s, duration: 9.6899 s, snr: 5.50
noise: Street_154_0, start: 10.0851 s end: 25.6176 s, duration: 15.5325 s, snr: 5.55
noise: Door_4316_0, start: 17.2406 s end: 20.6886 s, duration: 3.4480 s, snr: 6.08
noise: Computer_692_1, start: 23.4769 s end: 27.1807 s, duration: 3.7038 s, snr: 1.85
noise: Telephone_693_1, start: 26.7841 s end: 31.4534 s, duration: 4.6693 s, snr: 6.10
noise: Telephone_271_4, start: 81.6065 s end: 99.2904 s, duration: 17.6839 s, snr: 7.05
noise: Tool_3069_1, start: 90.3341 s end: 95.3756 s, duration: 5.0415 s, snr: 3.57
noise: Computer_576_0, start: 95.4791 s end: 98.9804 s, duration: 3.5014 s, snr: 6.45
noise: Computer_1228_3, start: 100.7994 s end: 104.8376 s, duration: 4.0381 s, snr: -0.12
noise: Telephone_772_0, start: 101.3342 s end: 104.5860 s, duration: 3.2518 s, snr: 5.76
noise: Door_1616_0, start: 112.0225 s end: 116.2933 s, duration: 4.2708 s, snr: 6.89
noise: Signalization_148_2, start: 113.5828 s end: 121.3975 s, duration: 7.8147 s, snr: 2.64
noise: Door_1753_4, start: 122.4860 s end: 125.9935 s, duration: 3.5075 s, snr: 5.43
noise: Babble_201_4, start: 154.7173 s end: 185.2626 s, duration: 30.5454 s, snr: 12.52
noise: Computer_76_0, start: 191.1301 s end: 201.7164 s, duration: 10.5863 s, snr: 7.27
noise: Street_37_3, start: 199.9104 s end: 203.4429 s, duration: 3.5325 s, snr: 3.37
noise: Tool_2908_4, start: 211.9300 s end: 216.4571 s, duration: 4.5271 s, snr: 2.40
noise: Gunshot_68_2, start: 213.9370 s end: 221.4824 s, duration: 7.5454 s, snr: 3.39
noise: Drawer_130_0, start: 214.1653 s end: 235.8747 s, duration: 21.7094 s, snr: 1.99
noise: Babble_129_2, start: 238.2628 s end: 248.7982 s, duration: 10.5354 s, snr: 13.08
noise: Computer_1181_1, start: 250.8263 s end: 253.9987 s, duration: 3.1724 s, snr: 6.86
noise: Telephone_502_0, start: 274.7772 s end: 278.0169 s, duration: 3.2396 s, snr: 5.09
noise: Writing_145_1, start: 284.4044 s end: 295.9907 s, duration: 11.5864 s, snr: 7.77
noise: Scissors_81_2, start: 289.0867 s end: 310.2948 s, duration: 21.2081 s, snr: 2.48
noise: Squeak_197_4, start: 317.4287 s end: 323.6964 s, duration: 6.2677 s, snr: 6.53
noise: Drawer_2_4, start: 317.6139 s end: 322.7625 s, duration: 5.1486 s, snr: 9.04
noise: Telephone_372_4, start: 331.1201 s end: 343.6108 s, duration: 12.4907 s, snr: 5.09
noise: Squeak_113_0, start: 337.7197 s end: 342.3094 s, duration: 4.5896 s, snr: 3.84
noise: Writing_262_3, start: 433.8549 s end: 437.5494 s, duration: 3.6945 s, snr: 7.32
noise: Tool_2572_0, start: 447.5322 s end: 450.5931 s, duration: 3.0609 s, snr: 10.30
noise: Street_39_4, start: 447.5933 s end: 451.1258 s, duration: 3.5325 s, snr: 2.70
noise: Writing_129_2, start: 447.9069 s end: 461.7333 s, duration: 13.8264 s, snr: 7.11
noise: Drawer_41_3, start: 455.3593 s end: 466.0271 s, duration: 10.6678 s, snr: 8.44
noise: Door_2397_0, start: 494.2351 s end: 497.8586 s, duration: 3.6235 s, snr: 8.41
noise: Writing_38_2, start: 509.7957 s end: 525.1026 s, duration: 15.3069 s, snr: 9.03
noise: Computer_704_1, start: 512.7182 s end: 515.9864 s, duration: 3.2682 s, snr: 4.49
noise: Door_1154_2, start: 545.5089 s end: 550.0962 s, duration: 4.5873 s, snr: 1.05
noise: Telephone_221_0, start: 590.7197 s end: 615.3350 s, duration: 24.6153 s, snr: 3.03
noise: Telephone_1_0, start: 625.1472 s end: 628.7258 s, duration: 3.5786 s, snr: 6.53
noise: Street_26_4, start: 631.6357 s end: 635.1648 s, duration: 3.5291 s, snr: 2.56
noise: Knock_1328_2, start: 634.8621 s end: 639.7944 s, duration: 4.9322 s, snr: 4.34
noise: Squeak_89_1, start: 664.7169 s end: 678.3492 s, duration: 13.6324 s, snr: 6.42
noise: Computer_45_4, start: 665.3182 s end: 670.1463 s, duration: 4.8281 s, snr: 7.75
